start_time,war
1600-07-01,NETHERLAND'S WAR OF INDEPENDENCE
1620-11-01,THIRTY YEAR'S WAR
1622-05-01,THIRTY YEAR'S WAR
1622-05-01,THIRTY YEAR'S WAR
1626-04-01,THIRTY YEAR'S WAR
1626-08-01,THIRTY YEAR'S WAR
1631-09-01,THIRTY YEAR'S WAR
1632-04-01,THIRTY YEAR'S WAR
1632-09-01,THIRTY YEAR'S WAR
1632-09-01,THIRTY YEAR'S WAR
1632-11-01,THIRTY YEAR'S WAR
1634-09-01,THIRTY YEAR'S WAR
1636-10-01,THIRTY YEAR'S WAR
1642-11-01,THIRTY YEAR'S WAR
1643-05-01,THIRTY YEAR'S WAR
1643-11-01,THIRTY YEAR'S WAR
1644-08-01,THIRTY YEAR'S WAR
1644-08-01,THIRTY YEAR'S WAR
1644-08-01,THIRTY YEAR'S WAR
1644-08-01,ENGLISH CIVIL WAR
1645-03-01,ENGLISH CIVIL WAR
1645-05-01,ENGLISH CIVIL WAR
1645-08-01,ENGLISH CIVIL WAR
1648-08-01,ENGLISH CIVIL WAR
1648-08-01,ENGLISH CIVIL WAR
1642-10-01,SECOND ENGLISH CIVIL WAR
1642-11-01,SECOND ENGLISH CIVIL WAR
1644-07-01,SECOND ENGLISH CIVIL WAR
1644-09-01,SECOND ENGLISH CIVIL WAR
1644-08-01,THE FRONDE
1644-10-01,FRANCO-SPANISH WAR
1644-10-01,AUSTRO-TURKISH WAR
1645-06-01,AUSTRO-TURKISH WAR
1648-08-01,POLISH-TURKISH WAR
1650-09-01,DUTCH WAR
1651-09-01,DUTCH WAR
1652-07-01,DUTCH WAR
1658-06-01,DUTCH WAR
1664-08-01,DUTCH WAR
1683-09-01,MONMOUTH'S REBELLION
1673-11-01,KING WILLIAM'S WAR
1674-06-01,KING WILLIAM'S WAR
1674-08-01,KING WILLIAM'S WAR
1674-10-01,KING WILLIAM'S WAR
1675-01-01,KING WILLIAM'S WAR
1675-06-01,KING WILLIAM'S WAR
1685-07-01,KING WILLIAM'S WAR
1689-07-01,KING WILLIAM'S WAR
1689-08-01,AUSTRO-TURKISH WAR
1689-09-01,AUSTRO-TURKISH WAR
1690-07-01,GREAT NORTHERN WAR
1690-07-01,WAR OF THE SPANISH SUCCESSION
1691-07-01,WAR OF THE SPANISH SUCCESSION
1692-08-01,WAR OF THE SPANISH SUCCESSION
1693-07-01,WAR OF THE SPANISH SUCCESSION
1693-10-01,AUSTRO-TURKISH WAR
1697-09-01,WAR OF THE AUSTRIAN SUCCESSION
1709-06-01,WAR OF THE AUSTRIAN SUCCESSION
1704-08-01,WAR OF THE AUSTRIAN SUCCESSION
1706-05-01,WAR OF THE AUSTRIAN SUCCESSION
1706-06-01,WAR OF THE AUSTRIAN SUCCESSION
1708-07-01,WAR OF THE AUSTRIAN SUCCESSION
1709-09-01,WAR OF THE AUSTRIAN SUCCESSION
1716-08-01,WAR OF THE AUSTRIAN SUCCESSION
1741-04-01,JACOBITE REBELLION
1742-05-01,JACOBITE REBELLION
1743-06-01,THE SEVEN YEAR'S WAR
1745-05-01,THE SEVEN YEAR'S WAR
1745-06-01,THE SEVEN YEAR'S WAR
1745-09-01,THE SEVEN YEAR'S WAR
1745-12-01,THE SEVEN YEAR'S WAR
1745-09-01,THE SEVEN YEAR'S WAR
1746-04-01,THE SEVEN YEAR'S WAR
1756-10-01,THE SEVEN YEAR'S WAR
1757-05-01,THE SEVEN YEAR'S WAR
1757-06-01,THE SEVEN YEAR'S WAR
1757-06-01,THE SEVEN YEAR'S WAR
1757-07-01,THE SEVEN YEAR'S WAR
1757-11-01,THE SEVEN YEAR'S WAR
1757-12-01,THE SEVEN YEAR'S WAR
1758-06-01,THE SEVEN YEAR'S WAR
1758-07-01,THE SEVEN YEAR'S WAR
1758-08-01,THE SEVEN YEAR'S WAR
1758-09-01,THE SEVEN YEAR'S WAR
1758-10-01,THE SEVEN YEAR'S WAR
1759-04-01,THE SEVEN YEAR'S WAR
1759-08-01,AMERICAN REVOLUTION
1759-08-01,AMERICAN REVOLUTION
1759-09-01,AMERICAN REVOLUTION
1759-11-01,AMERICAN REVOLUTION
1759-12-01,AMERICAN REVOLUTION
1760-07-01,AMERICAN REVOLUTION
1760-08-01,AMERICAN REVOLUTION
1760-11-01,AMERICAN REVOLUTION
1775-06-01,AMERICAN REVOLUTION
1776-01-01,AMERICAN REVOLUTION
1776-10-01,AMERICAN REVOLUTION
1776-12-01,AMERICAN REVOLUTION
1777-01-01,AMERICAN REVOLUTION
1777-09-01,AMERICAN REVOLUTION
1777-10-01,AMERICAN REVOLUTION
1777-10-01,WAR OF THE FIRST COALITION
1778-06-01,WAR OF THE FIRST COALITION
1780-08-01,WAR OF THE FIRST COALITION
1780-08-01,WAR OF THE FIRST COALITION
1781-01-01,WAR OF THE FIRST COALITION
1781-03-01,WAR OF THE FIRST COALITION
1781-04-01,WAR OF THE FIRST COALITION
1781-05-01,WAR OF THE FIRST COALITION
1781-09-01,WAR OF THE FIRST COALITION
1792-09-01,WAR OF THE FIRST COALITION
1792-10-01,WAR OF THE FIRST COALITION
1792-11-01,WAR OF THE FIRST COALITION
1793-03-01,WAR OF THE FIRST COALITION
1793-09-01,WAR OF THE FIRST COALITION
1793-10-01,WAR OF THE FIRST COALITION
1794-06-01,WAR OF THE SECOND COALITION
1796-05-01,WAR OF THE FIRST COALITION
1796-08-01,WAR OF THE SECOND COALITION
1796-08-01,WAR OF THE SECOND COALITION
1796-09-01,WAR OF THE SECOND COALITION
1796-11-01,WAR OF THE SECOND COALITION
1797-01-01,WAR OF THE SECOND COALITION
1798-07-01,WAR OF THE SECOND COALITION
1798-08-01,WAR OF THE SECOND COALITION
1799-03-01,THE NAPOLEONIC WARS
1799-04-01,THE NAPOLEONIC WARS
1799-06-01,THE NAPOLEONIC WARS
1799-08-01,THE NAPOLEONIC WARS
1799-08-01,THE NAPOLEONIC WARS
1799-09-01,THE NAPOLEONIC WARS
1800-05-01,THE NAPOLEONIC WARS
1800-06-01,THE NAPOLEONIC WARS
1800-06-01,THE NAPOLEONIC WARS
1800-12-01,THE NAPOLEONIC WARS
1805-12-01,THE NAPOLEONIC WARS
1806-10-01,THE NAPOLEONIC WARS
1806-10-01,THE NAPOLEONIC WARS
1807-02-01,THE NAPOLEONIC WARS
1807-06-01,THE NAPOLEONIC WARS
1808-08-01,THE NAPOLEONIC WARS
1808-09-01,THE NAPOLEONIC WARS
1809-01-01,THE NAPOLEONIC WARS
1809-04-01,THE NAPOLEONIC WARS
1809-05-01,THE NAPOLEONIC WARS
1809-05-01,THE NAPOLEONIC WARS
1809-05-01,THE NAPOLEONIC WARS
1809-06-01,THE NAPOLEONIC WARS
1809-07-01,THE NAPOLEONIC WARS
1809-07-01,THE NAPOLEONIC WARS
1809-07-01,THE NAPOLEONIC WARS
1809-07-01,THE NAPOLEONIC WARS
1810-08-01,THE NAPOLEONIC WARS
1810-09-01,THE NAPOLEONIC WARS
1811-05-01,THE NAPOLEONIC WARS
1811-05-01,THE NAPOLEONIC WARS
1812-07-01,WAR OF 1812
1813-06-01,WAR OF 1812
1813-07-01,WAR OF 1812
1812-09-01,WAR OF 1812
1813-05-01,WAR OF 1812
1813-05-01,LATIN AMERICAN WARS OF INDEPENDENCE
1813-06-01,LATIN AMERICAN WARS OF INDEPENDENCE
1813-08-01,LATIN AMERICAN WARS OF INDEPENDENCE
1813-08-01,LATIN AMERICAN WARS OF INDEPENDENCE
1813-08-01,LATIN AMERICAN WARS OF INDEPENDENCE
1813-10-01,LATIN AMERICAN WARS OF INDEPENDENCE
1813-10-01,WAR OF TEXAN INDEPENDENCE
1813-10-01,US-MEXICAN WAR
1813-10-01,US-MEXICAN WAR
1813-10-01,US-MEXICAN WAR
1814-02-01,US-MEXICAN WAR
1814-03-01,US-MEXICAN WAR
1814-03-01,US-MEXICAN WAR
1814-03-01,US-MEXICAN WAR
1814-03-01,US-MEXICAN WAR
1814-03-01,CRIMEAN WAR
1814-04-01,CRIMEAN WAR
1815-06-01,CRIMEAN WAR
1815-06-01,WAR OF AUSTRIA WITH FRANCE AND PIEDMONT
1815-06-01,WAR OF AUSTRIA WITH FRANCE AND PIEDMONT
1813-10-01,AUSTRO-PRUSSIAN (SEVEN WEEK'S) WAR
1814-07-01,AUSTRO-ITALIAN WAR
1814-07-01,AMERICAN CIVIL WAR
1815-01-01,AMERICAN CIVIL WAR
1819-08-01,AMERICAN CIVIL WAR
1821-06-01,AMERICAN CIVIL WAR
1822-04-01,AMERICAN CIVIL WAR
1822-05-01,AMERICAN CIVIL WAR
1824-08-01,AMERICAN CIVIL WAR
1824-12-01,AMERICAN CIVIL WAR
1836-04-01,AMERICAN CIVIL WAR
1846-05-01,AMERICAN CIVIL WAR
1846-05-01,AMERICAN CIVIL WAR
1847-02-01,AMERICAN CIVIL WAR
1847-02-01,AMERICAN CIVIL WAR
1847-03-01,AMERICAN CIVIL WAR
1847-04-01,AMERICAN CIVIL WAR
1847-04-01,AMERICAN CIVIL WAR
1847-08-01,AMERICAN CIVIL WAR
1847-08-01,AMERICAN CIVIL WAR
1847-08-01,AMERICAN CIVIL WAR
1847-09-01,AMERICAN CIVIL WAR
1847-09-01,AMERICAN CIVIL WAR
1854-09-01,AMERICAN CIVIL WAR
1854-10-01,AMERICAN CIVIL WAR
1854-11-01,AMERICAN CIVIL WAR
1859-06-01,AMERICAN CIVIL WAR
1859-06-01,AMERICAN CIVIL WAR
1866-07-01,AMERICAN CIVIL WAR
1866-06-01,AMERICAN CIVIL WAR
1861-07-01,AMERICAN CIVIL WAR
1861-08-01,AMERICAN CIVIL WAR
1861-11-01,AMERICAN CIVIL WAR
1862-01-01,AMERICAN CIVIL WAR
1862-02-01,AMERICAN CIVIL WAR
1862-03-01,AMERICAN CIVIL WAR
1862-03-01,AMERICAN CIVIL WAR
1862-03-01,AMERICAN CIVIL WAR
1862-03-01,AMERICAN CIVIL WAR
1862-04-01,AMERICAN CIVIL WAR
1862-04-01,AMERICAN CIVIL WAR
1862-05-01,AMERICAN CIVIL WAR
1862-05-01,AMERICAN CIVIL WAR
1862-06-01,AMERICAN CIVIL WAR
1862-06-01,AMERICAN CIVIL WAR
1862-05-01,AMERICAN CIVIL WAR
1862-06-01,AMERICAN CIVIL WAR
1862-06-01,AMERICAN CIVIL WAR
1862-06-01,AMERICAN CIVIL WAR
1862-06-01,AMERICAN CIVIL WAR
1862-06-01,AMERICAN CIVIL WAR
1862-06-01,AMERICAN CIVIL WAR
1862-06-01,AMERICAN CIVIL WAR
1862-07-01,FRANCO-PRUSSIAN WAR
1862-07-01,FRANCO-PRUSSIAN WAR
1862-08-01,FRANCO-PRUSSIAN WAR
1862-08-01,FRANCO-PRUSSIAN WAR
1862-08-01,FRANCO-PRUSSIAN WAR
1862-08-01,FRANCO-PRUSSIAN WAR
1862-09-01,FRANCO-PRUSSIAN WAR
1862-09-01,FRANCO-PRUSSIAN WAR
1862-10-01,FRANCO-PRUSSIAN WAR
1862-10-01,FRANCO-PRUSSIAN WAR
1862-10-01,ZULU WAR
1862-10-01,ZULU WAR
1862-12-01,TRANSVAAL REVOLT
1862-12-01,EGYPT AND THE SUDAN
1862-12-01,EGYPT AND THE SUDAN
1863-01-01,ITALO-ETHIOPIAN WAR
1863-05-01,BOER WAR
1863-05-01,BOER WAR
1863-05-01,BOER WAR
1863-05-01,BOER WAR
1863-05-01,BOER WAR
1863-05-01,SPANISH-AMERICAN WAR
1863-06-01,RUSSO-JAPANESE WAR
1863-07-01,RUSSO-JAPANESE WAR
1863-07-01,RUSSO-JAPANESE WAR
1863-07-01,RUSSO-JAPANESE WAR
1863-07-01,RUSSO-JAPANESE WAR
1863-09-01,RUSSO-JAPANESE WAR
1863-09-01,THE BALKAN WARS
1863-10-01,THE BALKAN WARS
1863-11-01,THE BALKAN WARS
1863-11-01,THE BALKAN WARS
1863-11-01,THE BALKAN WARS
1864-05-01,THE BALKAN WARS
1864-05-01,THE BALKAN WARS
1864-05-01,RUSSO-POLISH WAR (1920)
1864-05-01,RUSSO-POLISH WAR (1920)
1864-06-01,THE SPANISH CIVIL WAR
1864-06-01,THE MANCHURIAN INCIDENT (1938-1939)
1864-07-01,THE MANCHURIAN INCIDENT (1938-1939)
1864-07-01,THE MANCHURIAN INCIDENT (1938-1939)
1864-06-01,THE MANCHURIAN INCIDENT (1938-1939)
1864-06-01,THE MANCHURIAN INCIDENT (1938-1939)
1864-06-01,RUSSO-FINISH WAR (1939-1940)
1864-06-01,WORLD WAR I (WESTERN FRONT 1914)
1864-06-01,WORLD WAR I (WESTERN FRONT 1914)
1864-08-01,WORLD WAR I (WESTERN FRONT 1914)
1864-09-01,WORLD WAR I (WESTERN FRONT 1914)
1864-10-01,WORLD WAR I (WESTERN FRONT 1914)
1864-10-01,WORLD WAR I (WESTERN FRONT 1914)
1864-10-01,WORLD WAR I (WESTERN FRONT 1914)
1864-11-01,WORLD WAR I (WESTERN FRONT 1914)
1864-12-01,WORLD WAR I (WESTERN FRONT 1914)
1864-12-01,WORLD WAR I (WESTERN FRONT 1914)
1865-03-01,WORLD WAR I (WESTERN FRONT 1914)
1865-03-01,WORLD WAR I (WESTERN FRONT 1914)
1865-03-01,WORLD WAR I (WESTERN FRONT 1914)
1865-04-01,WORLD WAR I (WESTERN FRONT 1914)
1865-04-01,WORLD WAR I (WESTERN FRONT 1914)
1865-04-01,WORLD WAR I (WESTERN FRONT 1914)
1870-08-01,WORLD WAR I (EASTERN FRONT 1914)
1870-08-01,WORLD WAR I (EASTERN FRONT 1914)
1870-08-01,WORLD WAR I (EASTERN FRONT 1914)
1870-08-01,WORLD WAR I (EASTERN FRONT 1914)
1870-08-01,WORLD WAR I (EASTERN FRONT 1914)
1870-09-01,WORLD WAR I (EASTERN FRONT 1914)
1870-11-01,WORLD WAR I (EASTERN FRONT 1914)
1870-12-01,WORLD WAR I (EASTERN FRONT 1914)
1871-01-01,WORLD WAR I (EASTERN FRONT 1914)
1871-01-01,WORLD WAR I (SERBIAN FRONT 1914)
1871-01-01,WORLD WAR I (SERBIAN FRONT 1914)
1879-01-01,WORLD WAR I
1879-07-01,WORLD WAR I
1881-02-01,WORLD WAR I
1882-09-01,WORLD WAR I
1898-09-01,WORLD WAR I
1896-03-01,WORLD WAR I
1899-11-01,WORLD WAR I
1899-12-01,WORLD WAR I (ITALIAN FRONT 1915)
1899-12-01,WORLD WAR I (ITALIAN FRONT 1915)
1900-01-01,WORLD WAR I (ITALIAN FRONT 1915)
1900-01-01,WORLD WAR I (ITALIAN FRONT 1915)
1900-02-01,WORLD WAR I (ITALIAN FRONT 1915)
1900-02-01,WORLD WAR I (TURKISH FRONTS 1915)
1900-02-01,WORLD WAR I (TURKISH FRONTS 1915)
1898-07-01,WORLD WAR I (TURKISH FRONTS 1915)
1904-04-01,WORLD WAR I (TURKISH FRONTS 1915)
1904-05-01,WORLD WAR I
1904-06-01,WORLD WAR I
1904-06-01,WORLD WAR I
1904-08-01,WORLD WAR I
1904-10-01,WORLD WAR I
1905-01-01,WORLD WAR I
1905-01-01,WORLD WAR I
1905-01-01,WORLD WAR I
1905-02-01,WORLD WAR I
1905-03-01,WORLD WAR I
1912-10-01,WORLD WAR I
1912-10-01,WORLD WAR I
1912-10-01,WORLD WAR I
1912-10-01,WORLD WAR I
1912-11-01,WORLD WAR I
1912-11-01,WORLD WAR I
1913-03-01,WORLD WAR I
1920-08-01,WORLD WAR I
1920-09-01,WORLD WAR I
1937-03-01,WORLD WAR I
1938-07-01,WORLD WAR I
1938-08-01,WORLD WAR I
1938-08-01,WORLD WAR I
1938-08-01,WORLD WAR I
1938-08-01,WORLD WAR I (TURKISH FRONTS 1917)
1938-08-01,WORLD WAR I (TURKISH FRONTS 1917)
1939-05-01,WORLD WAR I (TURKISH FRONTS 1917)
1939-08-01,WORLD WAR I (TURKISH FRONTS 1917)
1939-09-01,WORLD WAR I (TURKISH FRONTS 1917)
1939-12-01,WORLD WAR I (TURKISH FRONTS 1917)
1914-08-01,WORLD WAR I (WESTERN FRONT 1918)
1914-08-01,WORLD WAR I (WESTERN FRONT 1918)
1914-08-01,WORLD WAR I (WESTERN FRONT 1918)
1914-08-01,WORLD WAR I (WESTERN FRONT 1918)
1914-08-01,WORLD WAR I (WESTERN FRONT 1918)
1914-08-01,WORLD WAR I (WESTERN FRONT 1918)
1914-08-01,WORLD WAR I (WESTERN FRONT 1918)
1914-09-01,WORLD WAR I (WESTERN FRONT 1918)
1914-09-01,WORLD WAR I (WESTERN FRONT 1918)
1914-09-01,WORLD WAR I (WESTERN FRONT 1918)
1914-09-01,WORLD WAR I (WESTERN FRONT 1918)
1914-09-01,WORLD WAR I (WESTERN FRONT 1918)
1914-09-01,WORLD WAR I (WESTERN FRONT 1918)
1914-09-01,WORLD WAR I (WESTERN FRONT 1918)
1914-09-01,WORLD WAR I (WESTERN FRONT 1918)
1914-09-01,WORLD WAR I (WESTERN FRONT 1918)
1914-08-01,WORLD WAR I (WESTERN FRONT 1918)
1914-08-01,WORLD WAR I (WESTERN FRONT 1918)
1914-08-01,WORLD WAR I (WESTERN FRONT 1918)
1914-09-01,WORLD WAR I (WESTERN FRONT 1918)
1914-08-01,WORLD WAR I (WESTERN FRONT 1918)
1914-08-01,WORLD WAR I (WESTERN FRONT 1918)
1914-08-01,WORLD WAR I (WESTERN FRONT 1918)
1914-09-01,WORLD WAR I (WESTERN FRONT 1918)
1914-11-01,WORLD WAR I (WESTERN FRONT 1918)
1914-08-01,WORLD WAR I (WESTERN FRONT 1918)
1914-12-01,WORLD WAR I (WESTERN FRONT 1918)
1915-02-01,WORLD WAR I (WESTERN FRONT 1918)
1915-03-01,WORLD WAR I (WESTERN FRONT 1918)
1915-03-01,WORLD WAR I (WESTERN FRONT 1918)
1915-03-01,WORLD WAR I (WESTERN FRONT 1918)
1915-03-01,WORLD WAR I (WESTERN FRONT 1918)
1915-03-01,WORLD WAR I (WESTERN FRONT 1918)
1915-03-01,WORLD WAR I (WESTERN FRONT 1918)
1915-04-01,WORLD WAR I (WESTERN FRONT 1918)
1915-05-01,WORLD WAR I (WESTERN FRONT 1918)
1915-09-01,WORLD WAR I (WESTERN FRONT 1918)
1915-02-01,WORLD WAR I (WESTERN FRONT 1918)
1915-05-01,WORLD WAR I (WESTERN FRONT 1918)
1915-06-01,WORLD WAR I (WESTERN FRONT 1918)
1915-07-01,WORLD WAR I (WESTERN FRONT 1918)
1915-10-01,WORLD WAR I (WESTERN FRONT 1918)
1915-11-01,WORLD WAR I (WESTERN FRONT 1918)
1915-04-01,WORLD WAR I (WESTERN FRONT 1918)
1915-04-01,WORLD WAR I (WESTERN FRONT 1918)
1915-08-01,WORLD WAR I (WESTERN FRONT 1918)
