,Unnamed: 0,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,lat,lon,yearmonth
0,0,1743-11-01,6.068,1.737,Ã…rhus,Denmark,57.05,10.33,1748-12
352080,352080,1828-06-01,16.423,2.887,Apeldoorn,Netherlands,52.24,5.26,1748-11
508795,508795,1923-02-01,24.344,0.445,Babakan,Indonesia,-7.23,107.84,1748-10
686056,686056,1869-08-01,23.178,0.8909999999999999,Bari,Italy,40.99,17.04,1748-09
842518,842518,1919-08-01,15.173,0.5479999999999999,Berezniki,Russia,58.66,55.38,1748-08
1071257,1071257,1940-05-01,19.845,0.233,Botucatu,Brazil,-23.31,-48.06,1748-07
1071423,1071423,1954-03-01,23.107,0.213,Botucatu,Brazil,-23.31,-48.06,1748-06
591552,591552,1818-12-01,15.149,1.4169999999999998,Ballia,India,26.52,84.18,1748-05
1298599,1298599,1911-04-01,13.535,0.381,Calama,Chile,-23.31,-69.03,1748-04
258231,258231,1953-03-01,5.2170000000000005,0.431,Amol,Iran,36.17,51.71,1748-03
1194821,1194821,1977-06-01,23.0,0.4589999999999999,Bukan,Iran,36.17,45.75,1748-01
1759870,1759870,1954-10-01,9.404,0.2319999999999999,Copenhagen,Denmark,55.45,11.34,1748-02